Isim,KullaniciAdi,YorumSayisi,RetweetSayisi,BegeniSayisi,Tweet 
Ozan Ergün DOĞAN,@Ozanergundogan2,,,4,"Asgari ücret birçok Avrupa ülkesinde sembolik bir ücrettir ama Türkiye'de milyonların meselesidir. 10 milyon işçi asgari ücretin altında ve asgari ücrete yakın çalışmaktadır. 
O bakımdan kimse işçilere 'fedakârlık' tavsiyesinde bulunmasın, kimse işçilerden fedakârlık beklemesin."
WOOW,@woowhaber,1,7,15,"CHP, asgari ücretin net 3 bin 100 TL’ye çıkarılması, asgari ücret üzerindeki vergi yükünün sıfırlanması, asgari ücretliler için vergi matrah dilimlerinin yeniden düzenlenmesi ve asgari ücret komisyonunun yeniden yapılandırılması için TBMM’ye kanun teklifi verdi. #asgariücret"
Netyorum,@netyorumnet,,,,Asgari ücret 2021 zammı ne kadar olacak? TÜİK açıkladı!
Ozan Ergün DOĞAN,@Ozanergundogan2,,,4,"Asgari ücret birçok Avrupa ülkesinde sembolik bir ücrettir ama Türkiye'de milyonların meselesidir. 10 milyon işçi asgari ücretin altında ve asgari ücrete yakın çalışmaktadır. 
O bakımdan kimse işçilere 'fedakârlık' tavsiyesinde bulunmasın, kimse işçilerden fedakârlık beklemesin."
WOOW,@woowhaber,1,7,15,"CHP, asgari ücretin net 3 bin 100 TL’ye çıkarılması, asgari ücret üzerindeki vergi yükünün sıfırlanması, asgari ücretliler için vergi matrah dilimlerinin yeniden düzenlenmesi ve asgari ücret komisyonunun yeniden yapılandırılması için TBMM’ye kanun teklifi verdi. #asgariücret"
Netyorum,@netyorumnet,,,,Asgari ücret 2021 zammı ne kadar olacak? TÜİK açıkladı!
Muttaki Karakurt,@MuttakiKarakurt,,,,"Her şeye uzun uzun açıklama, asgari ücret bir cümle."
Sabah Gazetesi,@Sabah,2,,3,"TÜİK rakamlarındaki o ayrıntı! Asgari ücret 2021 ne kadar olacak? İşte, ayrıntılar..."
Edaaa,@Helll69794930,,,,"Şiddet , istismar  , yoksulluk sınırı, asgari ücret, işsizlik oranı,  boşuna okuman üniversiteler ve tabiki bunlarla hayatta kalmaya halk.. #ÜlkemizinGerçekleri"
Emperor-Over-the-Sea,@EmperorOver,,,,AKP'den önce 80 dolardı. O zaman nasıl geçiniyorlardı? Asgari ücret 430 dolar olduğu zaman bile CHP aynısını diyordu :/
SeS ,@serdar_saricam,,1,1,#asgariücret vermeden almaya başladılar
ismail malkoç,@malkocismail,,,1,"Asgari ücret ve devletin kalori hesabı;
Bu modeller çok yakıyor, köle modeline dönmek lazım..."
SeS ,@serdar_saricam,,1,2,#asgariücret #carsamba
CHP Ankara İl Gençlik Kolları - #EvdeKal,@CHPGencAnkara,,9,15,"İnsanca bir yaşam için #asgariücret en az 3.100 TL olmalıdır.
#EmektenTarafVergidenMuaf"
AKİT TV,@akittv,1,,2,"Karamollaoğlu asgari ücret teklifini açıkladı
https://akittv.com.tr/ekonomi/haber/33076-karamollaoglu-asgari-ucret-teklifini-acikladi…"
seo lu.,@mysticskz,,,,#OswaldoPresoPolitico #asgariuecret #loteriadenavidad2020 #unboxtherapy #SorteoNavidad
MedyaYazar,@MedyaYazarCom,,,,CHP'den Asgari Ücret için kanun teklifi
Bursada Bugün,@bursadabugun,,,1,"Cumhurbaşkanı Erdoğan'dan asgari ücret sorusuna yanıt!

Haberi oku---> https://bit.ly/2WDZxam"
Halk54sosyal,@halk54sosyal,,,,CHP'li Özkoç'tan Asgari Ücret Kanun Teklifi
Mert 𐱅𐰇𐰼𐰜 ,@Mert10181982,,1,1,Asgari ücret net olarak markete girildiğinde et dahil aylık alış veriş yapıldıktan sonra cepte ayı çıkarabilmek için en az 1500 TL kalacak şekilde ayarlanmalı. 5.000 TL olsa da vakumlayanların sayısı yeterince fazla zaten. Alım gücünü müzakere edin sn @ZehraZumrutS
İzmir Gündemi,@izmirgundemii,,,3,"DİSK açıkladı: Asgari ücret insan onuruna yaraşır bir düzeye yükseltilmeli 

https://izmirgundemi.net/disk-acikladi-asgari-ucret-insan-onuruna-yarasir-bir-duzeye-yukseltilmeli/28666/…"
Yağmur Coskun,@csknyagmur,,,,"Toplu taşıma araçlarına ve taksilere %11 zam gelmiş, asgari ücret için neredeyse TUİK'in önerdiği teklif kadar zam gelmiş komik olmayın yahu!"
Semiha Tbrdmr,@BenKelamKutusu,,,,İş bu tweeti Asgari ücretin 2.700 küsür TL olması gerektiğini beyan eden TÜİK’in attığına yemin edebilirim ama ispatlayamam; #asgariücret #tüik
Mustafa Karahan,@karahanmustafa_,1,,15,"Bu seneki asgari ücret görüşmeleri nasıl sonuçlanacak merak ediyorum!
Geçen yılki görüşmelerde bir sendika başkanı ile Çalışma bakanı  mikrofonun kapalı olduğunu zannederek, fıs fıs birşeyler konuşmuşlardı!
Düşük asgari ücret dışında aklımda bu kaldı!.."
seo lu.,@mysticskz,,,,"eu
#OswaldoPresoPolitico #asgariuecret #loteriadenavidad2020 #unboxtherapy #SorteoNavidad"
Sam,@sacalli,,,,Vereceksin TÜİKde çalışanlara 6 ay asgari ücret bak nasıl 10 bin yapıyorlar
Mustafa DOĞMENÇ,@Acemoglu_07,,,,650x4=2600 Yeni Asgari ücret !#KYKBURS
Finans.Biz,@BizFinans,,,,CHP’den asgari ücret için kanun teklifi
seo lu.,@mysticskz,1,,,#OswaldoPresoPolitico #asgariuecret #loteriadenavidad2020 #unboxtherapy #SorteoNavidad
GercekHaberci Gazete,@gercekhaberci,,,,TÜİK’ten asgari ücret açıklaması: Artış oranını biz belirlemiyoruz
Mehmet Sonsuzov,@maroniatrika,1,,,"İçindeki ateşi kontrol eden kim bilir belki bir gün dışındaki ateşi de kontrol eder.  Mesele sabırla, elindekilerin kıymetini bilerek dünyayı anlamaktan geçiyor. Farzedelim asgari ücret 2750-2800 oldu. Bardağın boş tarafından bakmaktansa dolu tarafını da görmek gerekir."
Mehmet Sonsuzov,@maroniatrika,1,,,"Gönül ister ki asgari ücret 5 bin olsun veya daha fazla olsun. Ama unutmayalım ki yaşanmamışlıklar insanın içinde bir hırs biriktirir. Daha fazla paraya sahip olduğunda bir daha mı geleceğiz dünyaya diyerek, her şeyden fazla fazla alan insanların bozacağı besin zincirini düşünün."
EYMEN Y.,@Reis___Rte,1,,12,"Türkiye'de şartlar belli,eyvAllah
Keşke asgari ücret 5000 TL olsa,
olmasını bütün çalışanlar ister! 
Yani temenni etmek,olmasını istemek bu durumu
illa alay konusu yapmayı gerektirir mi?
Ukalalığın gereği yoktur!"
Mehmet Sonsuzov,@maroniatrika,1,,,"Hakkaniyetli düşünürsek bu üreticilere durun zam yapmayın demekte zordur. Fakat zam geldiğinde, alım gücü de düştüğünde bu sefer asgari ücret artışının  bir önemi kalmamış oluyor."
Mehmet Sonsuzov,@maroniatrika,1,,,Umulur ki asgari ücret artarken; alım gücü de belli bir standartı korusun. Gerçi haksızlık yapmayalım Türkiye satın alma gücü endeksinde normal Gsyih'inden 3-5 sıra daha yukarıda. Ama bu sefer de olan üreticilere oluyor. Onları da bir köşeye itemeyiz.
Mehmet Sonsuzov,@maroniatrika,1,,,Daha fazlası olur mu? bilemiyorum. Ama bence az'ı olmaz. Hele ki asgari ücret zammı İyi Parti'nin önerdiği 3000 lira gibi bir düzeye  çıkarılırsa ben bundan 2021 yılı içinde bir seçim yapılması sonucunu bile çıkarabilirim.
Mehmet Sonsuzov,@maroniatrika,1,,,Sayın cumhurbaşkanı'nın bu oranlı bir ücret artışı müjdelemesi; asgari ücretin de en az %18 oranında artması'nın ilk ipucu olmuştur. Muhtemelen asgari ücrete %18.5 oranında zam yapılarak 2750 lira olması ihtimali çok kuvvetlenmiştir.
Gazete Kritik,@gazetekritik,,5,14,"CHP'li Özkoç: TÜİK'in asgari ücret rakamı teklifi, kuru ekmeğe talim teklifidir https://gazetekritik.com/vekil-haberleri/chp-li-ozkoc-tuik-in-asgari-ucret-rakami-teklifi-kuru-h129711.html…
@enginozkoc"
Zafer gelecek,@Zafergelecek1,,,,"saçmalık. Asgari ücretten vergiyi sıfırlarsan yüksek ücret alanları, asgari ücretli gibi gösterir tüm işverenler, üstünü el altından tamamlarlar. yani kayıt dışı. ayrıca asgari ücretin biraz üstü ücret diye bişey olmaz. AG+1 TL zam yapsan o 1 tl işverene 801 tl olarak yazar"
Ali Güngör,@aligingerfx,,,,"#haber : DİSK'ten yeni asgari ücret açıklaması
https://finans.mynet.com/haber/detay/ekonomi/son-dakika-disk-ten-yeni-asgari-ucret-aciklamasi/410961/…  #sondakika #finans #ekonomi #limitforextr"
HABERİNİZ,@HHaberiniz,,,1,"Erdoğan asgari ücret sorusunu böyle yanıtladı
#haber #asgariuecret"
Emre ÇETİN,@tremrecetin,1,,,"İşsizlik düştükçe, ülke rahat nefes alır. Bir noktada (covid öncesi ABD'de olduğu gibi), iş yeri açarsın, çalışan bulamazsın. Mecbur asgari ücret üzerinde maaş verirsin. Hele hele düzgün çalışan varsa. Yani alım gücü böyle yükselir. Devlet desteğiyle değil. Devlet yoldan çekilsin"
erkan,@erkanJK0319,,,2,Asgari ücret hangi gün açıklanacak?
Zafer gelecek,@Zafergelecek1,,,,"Yıllardır bu saçmalığı söylerlr. Asgari ücretten vergiyi sıfırlarsan yüksek ücret alanları, asgari ücretli gibi gösterir tüm işverenler, üstünü el altından tamamlarlar. ayrıca asgari ücretin biraz üstü ücret diye bişey olmaz. AG+1 TL zam yapsan o 1 tl işverene 801 tl olarak yazar"
Mert Ergün,@ergmrt12,1,,8,Brüt asgari ücret anketi :) @HASOsyalmedya
Batman Medya,@batmanmedyacom,,,,‘Asgari ücret en az 3 Bin TL olmalı’
Husam,@Husam20343139,,,,Iki asgari ücret alsınlar kabul ama nerdeeee onlara 6 asgari ücret yetmiyor.
Nafi Faik Tamgacı,@Tamgac6,2,,8,Asgari ücret 3.000 TL'ye çok yakın bir rakam.
Tükenmez Haber,@tukenmezhaber,,,1,"CHP’den 27 maddelik ‘#asgariücret’ teklifi

 Net olarak aylık 3,100 TL olarak belirlenmeli

 #Asgariücret tespit komisyonu daha demokratik hale getirilmeli"
mustan°Fa,@icantabile,1,,1,Sadece 2 bin lira yazmış asgari ücret lan o burda aq
ilkergulenay,@ilkerglny,,1,1,"Koca Dünyada SEFİL TC’i Halkı 
İdare edenleri de sıralasak
*
İsraf
Şatafat 
Bütçe
Yönetenlerin varlıkları
Asgari ücret
İşsizlik
Açlık
Hukuk
AHİMde kim olur
TC’inin imzası mı var?
!!!!..."
pia,@edegezgin,,,1,Asgari ücret zammını siz yapan gerisini de halk yapsın. Karşılıklı denetim olsun.
Köşe Yazarları,@KoseYazarlari1,,,1,"Murat Muratoğlu: Geçen yıl dolar kaç kapatmıştı yılı? Son gün 5.96’daydı… Bugün kaç lira? Düşmüş haliyle 7.62’de…

Artış oranı kaç? Yüzde 28 civarında… Dolar bazında geçen yılın alım gücüne ulaşmak için bile asgari ücret 2.975 lira olmalı…"
NostalJİK. #Fenerbahçe,@Fenerbahce_kap,,,6,"Asgari ücret yükseliyor diye seviniyor!
Sanki yeni zamlar gelmeyecekmiş gibi"
prodempla,@prodempla,,,,"Kahrolsun dinci-ırkçı-faşist RTE-AKP/MHP iktidarı! Kahrolsun faşist diktatörlük! Faşizme ölüm halka hürriyet!#SonDakika #Kubilay,Menemen,AİHM,Demirtaş,Can Dündar,Akpınar,Bilim Kurulu,#asgariücret #AsgariÜcretleGeçinemiyoruz #ÜcretsizİzinKalksın #MadenciyleYürü #Ölüyoruz #Çarşamba"
Mustafa,@mustafahincal14,,,,Reisden asgari ücret müjdesi bekliyoruz geçen sene sözü vardı
Mavi Vatan  #Bluehomeland,@orucreyiz,11,,14,"Asgari ücret 2700 civarı olacak gibi gözüküyor. Ama benim tahminin cumhurbaşkanı müdahale edip biraz daha iyileştirme yapacak kaantindeyim.

Size göre kaç olmalı?"
UIAŞ ,@yeniinesilpanda,,,,"Asker olmadığım için asgari ücret benim için önemli değil (!)
İyi Günler..."
NTV,@ntv,13,2,37,Cumhurbaşkanı Erdoğan'dan asgari ücret sorusuna yanıt https://bit.ly/34E8XqX
PİRHA,@PirHaberAjansi,,,,"DİSK Ege Bölge Temsilciliği, asgari ücret görüşmeleri ile ilgili basın açıklaması gerçekleştirdi. Konak Sümerbank önünde yapılan açıklamada, “İnsan onuruna yaraşır asgari ücret istiyoruz” denildi

@diskinsesi #AsgariÜcret #işçi #maaş #disk
https://pirha.net/diskten-izmirde-aciklama-insan-onuruna-yarasir-asgari-ucret-istiyoruz-video-246917.html/23/12/2020/…"
Ücretli hoca,@cretliretmen15,,5,4,Ücretli Öğretmenlere uygulanan asgari ücret altında ki ücret anayasaya aykırıdır. @RTErdogan @ziyaselcuk @tcmeb @dbdevletbahceli @Akparti @tcbestepe @fuatoktay @drbetulsayan @safran1958
enesfarukhafsa,@ibo45600,,,,"İşlerine geliyor polimik yaratmak ama ası sorun
Fazla değil
Asgari ücret, Cumhurbaşkanı maaşının %4'ü kadar olsun

88.000x 0.04= 3520 ₺ olur."
Ahmet ÇAY  MaviVatan ,@Ahmetcay001,1,,3,"Kaç gündür @kilicdarogluk asgari ücret yok şu yok bu olsun diye şov yapıyor.Ülkenin dörtte birinin yaşadığı İstanbul Chp li belediyesi ise dün suya %6,8 bugün toplu taşımaya %11 zam yapıyor.Siz bu Milleti aptal mı sanıyorsunuz.İki yüzlüsünüz @ekrem_imamoglu #KaçakçıCanan"
Kamudanhaber,@kamudanhaber,1,1,2,DİSK'ten 'asgari ücret vergi dışı bırakılsın' talebi
Mynet,@mynet,,,2,"Devrimci İşçi Sendikaları Konfederasyonu (DİSK) Genel Başkanı Arzu Çerkezoğlu, 3 bin 800 liralık asgari ücret talebini yineledi ve ücretin tümüyle vergi dışı bırakılması gerektiğini söyledi."
Kathryn,@runklesz,,,17,KYK 650 tl olmuş. Asgari ücret de 3000 tl olursa huzur içinde sürünmeye devam edicem seri bi şekilde dua edelim 
UMUT,@Umut192010,,,,"Onun dışında 1 kişi çıkıp desin ki şu milletvekili yada şu parti halk için çabalıyor yolsuzluk yada bir dönem kalacam diye ne çalsam kardır düşüncesinde olmayan, kendi maaşları olunca meclis çocuk parkına dönüyor bize gelince susuyorlar #asgariücret"
muratcan akbulut,@muratcana87,,,,Nedense asgari ücret açıklanaca gun
Marmara Basın,@marmarabasin,,,,Engin Özkoç’tan asgari ücret için kanun teklifi
Sakarya Olay,@sakaryaolay_com,,,,Engin Özkoç’tan asgari ücret için kanun teklifi
Sakarya Milat,@sakaryamilat,,,,Engin Özkoç’tan asgari ücret için kanun teklifi
,@Kdrg54,,,,Bu ülkelerin asgari ücret çalışan sayılarını da paylaşır mısın iyice boka battığımızı görsünler :)
enesfarukhafsa,@ibo45600,,,,"Fazla değil
Asgari ücret, Cumhurbaşkanı maaşının %4'ü kadar olsun

88.000x 0.04= 3520 ₺ olur."
Haber Global,@HaberGlobal,,,7,"DİSK'ten ""asgari ücret vergi dışı bırakılsın"" talebi"
Hikmet Kılınç,@HikmetKlnccc,,,6,Asgari ücret versin istersen
Bursa Hakimiyet,@b_hakimiyet,,,,"DİSK'ten yeni asgari ücret açıklaması!

https://bit.ly/38xDtDR"
adim ayse degil,@ays7gul,1,,1,"değiştirirken,su,elektrik,doğalgaz faturalarını asgari ücret ile ödemeye çalışıyorlar. 3 çocuğu olan birini düşünün. kim asgari ücret ile yaşayıp, yuva kurabilir ki? dış ülkelere,suriyelilere milyarlarca para harcanırken kendi vatandaşına ""yoksulluk ortadan kalktı artık""diyebilen"
enesfarukhafsa,@ibo45600,,,,"Bırak laf salatasını
Fazla değil
Asgari ücret, Cumhurbaşkanı maaşının %4'ü kadar olsun

88.000x 0.04= 3520 ₺ olur."
ADEM (DEDE),@adem31679011,,,,engin sen hangi bakkal veya marketten alıyorsan ordan alma.Şu uyuşturucu ve organticareti yapanları vergiye bağlayalım asgari ücret 10 olur. #Taciz ve Tecavüz iddiaları ile ilgili bir twit attinmi goremedimde.
.,@5ldIZjqrmZkycKv,,,5,180 lira olduğu yıl asgari ücret 527 tl idi yani yüzde 35 eder şu an asgari ücretin yüzde 28 ine gerilemiş durumda şanslı zamanlarda okumuşsun yine iyisiniz
enesfarukhafsa,@ibo45600,,,,"Fazla değil
Asgari ücret, Cumhurbaşkanı maaşının %4'ü kadar olsun

88.000x 0.04= 3520 ₺ olur."
Ali İhsan Orhan,@aliihsan_orhan,,,,CHP’den asgari ücret için kanun teklifi - Gerçek Gündem
nuri akgün,@NuriNuriakgn,,,,"Asgari değil, VİCDANİ ÜCRET."
SODAP,@sodap74,,2,12,"Sözcümüz @sevtap_akdag Bursa’da Batis ve Bamis sendikalarını ziyaret etti.

Asgari ücret ve bütçe görüşmelerine dair talepler konuşuldu.

Herkese iş ve gelir güvencesi sağlansın!"
adanahaberleri.01  ,@merkezi01,,,,"DİSK'ten yeni asgari ücret açıklaması

DİSK Başkanı Çerkezoğlu, 3 bin 800 liralık asgari ücret talebini yineledi ve ücretin tümüyle vergi dışı bırakılması gerektiğini söyledi."
enesfarukhafsa,@ibo45600,,,1,"Fazla değil
Asgari ücret, Cumhurbaşkanı maaşının %4'ü kadar olsun

88.000x 0.04= 3520 ₺ olur."
enesfarukhafsa,@ibo45600,,,,"Fazla değil
Asgari ücret, Cumhurbaşkanı maaşının %4'ü kadar olsun

88.000x 0.04= 3520 ₺ olur.

#asgariücret"
Okur,@Okur15302605,,,,Yine sasırtmadı anca 2 lafın biri cehape ekonomi boşver  milllet saf uyutmak kolay asgari ücret 3500 den aşagı olmamalı uaziklar olsun
KAMUŞERON BELEDİYECİ ,@TURANSEVDASITR,,3,4,khklli  belediye şirket iscisi her fedakarligi  çeksin kadro diye şirkete alinsin #Geçinemiyoruz #khklı #Belediye işçileri 696 KHK ile kadro diye kandırıldı. Biz hâlâ kadrosuz #asgariücret li şirket işçisiyiz. @ZehraZumrutS #450binBelediyeciKadrosuz @RTErdogan @kilicdarogluk
Ercüment Türk,@TurkErcument,,,,"İstersen % 90 arttır 
AGİ  asgari ücrete dahil olduktan sonra 
Asgari ücret + AGİ verilsin mi sen onu söyle @tuikbilgi 

Milletin aklı ile de dalga geçme 

@RTErdogan @ZehraZumrutS @sgksosyalmedya @takvim @AKKADINGM @AKGenclikGM @DincerAsliAy
#ArtıkYETER"
sualp gundogdu,@sualp_gundogdu,,,,"bu eleştiri gereksiz. kuran-ı kerim Türkçe olmalı ki millet okuduğunu anlasın, sözde hoca kisvesi altında bu bezirganlara el açmasın. hem kadın erkek birlikte sema döndü de ne oldu? saçma salak islerle gündem yaratıyorlar. ne oldu asgari ücret?, ne oldu işsizlik?, ne oldu döviz?."
Mutlu Dere,@MutluDERE6,,,,"Bırakın @kilicdarogluk nu, o sizin şansınız, memleketin ısrarlı şanssızlığı maalesef, tamam
2004'de ""Sivil Şehit"" ve haklarını siz getirdiniz Allah Razı Olsun ama @selcukktepeli de izledik, Şehidin babası dedi, 195 lira maaş nedir?

Ya en az Asgari ücret verin ya da hiç vermeyin."
Sinan EKER,@EkrSinan,,,9,"Asgari ücret küçük bir azınlığın değil çalışanların ezici çoğunluğunun meselesidir. Türkiye bir asgari ücretliler toplumu haline gelmiştir.
Yetmez ama en azından asgari ücret 3100 TL olmalıdır. 
@Canan_Kaftanci
@muratkantekin
@Hayatibozkaya1
@Serdar_Gul_25
@guleser_sel"
Rojname Haber,@ROJNAME_haber,,,,DİSK: asgari ücret 3 bin 800 TL olmalı
Rojname Kurdish News ,@Rojname_com,,,,DİSK: asgari ücret 3 bin 800 TL olmalı
Mutlu Dere,@MutluDERE6,,,2,"Bırakın @kilicdarogluk nu, o sizin şansınız, memleketin ısrarlı şanssızlığı maalesef, tamam
2004'de ""Sivil Şehit"" ve haklarını siz getirdiniz Allah Razı Olsun ama @selcukktepeli de izledik, Şehidin babası dedi, 195 lira maaş nedir?

Ya en az Asgari ücret verin ya da hiç vermeyin."
Bilgin olsun,@bilgin_olsun5,,,,"DİSK'ten yeni asgari ücret açıklaması

DİSK Başkanı Çerkezoğlu, 3 bin 800 liralık asgari ücret talebini yineledi ve ücretin tümüyle vergi dışı bırakılması gerektiğini söyledi."
BirliktenKuvvetDogar,@KuvvetDogar,,,,İşçilerden asgari ücret eylemi: 3.800 TL istiyoruz!
Kakalin ,@kakalinthemad,1,,,"ufak bi araştırmayla 2020 sepeti ortalama 600tl civarı tutuyor.
asgari ücretlerle karşılaştırma yaparsak
2014 yılında bu sepetten 6.5 kere alabilecek bir asgari ücret alan vatandaş
2020 yılında bu sepetin aynısından 4 kere alabiliyor."
Yıldırım AGÂH,@kartal_ragnar,1,,1,Hacı abi asgari ücret ile ilgilide bir iki twit görmek isteriz.
egenewsmedya,@egenewsmedya,,,,Cumhurbaşkanı Erdoğan’dan asgari ücret açıklaması
Ömer TURĞUT,@omerturguut_,,,1,"Halka, emekçiye sırtı dönük olan iktidarın; asgari ücrete yapacağı zammın da hakça, insanca bir yaşama uygun olmayacağı, yakınından bile geçmeyeceği bellidir. Her konuda olduğu gibi bu konuda da bir beklentimiz yoktur. Bu düzen değişecek.. #asgariücret"
Gazete Nisan,@gazetenisan,,2,9," #DİSK bugün, İstanbul Tophane'deki Çalışma ve İŞKUR İl Müdürlüğü önünde bir basın açıklaması gerçekleştirdi.
Krizin faturası kapitalistlere!
İnsan onuruna yaraşır bir #asgariücret!
Asgari ücretliye değil, patronlara vergi!
Ücretlere enflasyon oranında ve düzenli zam!"
Metin Paçarız,@MetinPacar,,,,Ümraniye esnafı Canan hanımın asgari ücret önerisini kabul etmiş mi?
Mutlu Dere,@MutluDERE6,,,,"Bırakın @kilicdarogluk nu, o sizin şansınız, memleketin ısrarlı şanssızlığı maalesef, tamam
2004'de ""Sivil Şehit"" ve haklarını siz getirdiniz Allah Razı Olsun ama @selcukktepeli de izledik, Şehidin babası dedi, 195 lira maaş nedir?

Ya en az Asgari ücret verin ya da hiç vermeyin."
kemal subaşı,@kmlsubasi,,,,Chp li belediye lerde asgari ücret 3.100 tl olsun. Örnek olsun.
Tele1 TV - #Tele1Susturulamaz,@tele1comtr,6,1,9,Erdoğan ‘asgari ücret’ sorusunu yanıtladı
Son Mühür,@sonmuhurhaber,,,,"DİSK'ten asgari ücret açıklaması https://sonmuhur.com/haber/DISK-ten-asgari-ucret-aciklamasi/62908… @sonmuhurhaber aracılığıyla 
#disk #asgariucret #maas #ekonomi"
HAKİKAT,@haberihakikat,,,,BEKAR ÇALIŞANLAR İÇİN #asgariücret 2800 TL CİVARI OLURSA EVLİ ÇALIŞANLAR İÇİN AGİ DESTEĞİ İLE ZATEN 3100 TL'Yİ GEÇİYOR..
Yusuf Çetin,@Yusuf_ceti,,,3,Sınav iptal olacağını sanmıyorum ama olur inş #SınavlarİptalEdilsin #sınavagelmiyorum #Sinavlariptalolsun #asgariuecret
İbrahim Halil Yaşar,@halobenya,,,,"2010 yılında lisans kredisi 220 liraydı, asgari ücret ise 600 lira. İçler dışlar çarpımı işini ve çıkan sonucun yorumunu sana bırakıyorum. Yeni nesli salak yerine koymaya devam."
yuzdeyuzhaber,@yuzdeyuzhaber1,,,,Erdoğan'dan Asgari Ücret Açıklaması! https://haberyuzdeyuz.com/politika/erdogandan-asgari-ucret-aciklamasi-h30530.html… @haber_yuzdeyuz aracılığıyla
YUZDEYUZHABER,@haberyuzdeyuzz,,,,Erdoğan'dan Asgari Ücret Açıklaması! https://haberyuzdeyuz.com/politika/erdogandan-asgari-ucret-aciklamasi-h30530.html… @haber_yuzdeyuz aracılığıyla
Güncel Filozof,@islamAlimleri_,,,,"Asgari Ücret Sizce ne Kadar olur?
#asgariuecret
#kilicdaroglu
#MHP
#sınavagelmiyorum
#2020ninKaybedeni"
HardHolder.,@hardholderr,,,,"TÜİK'ten asgari ücret açıklaması: ""Ne asgari ücret ne de asgari ücret artış oranı TÜİK tarafından belirlenmemekte ve önerilmemektedir."""
İlerici Kadınlar Derneği - İKD,@ikd_sosyalmedya,,5,19,"Son iki ayda gıda maddelerinin fiyatı %20 arttı!

Emekçileri, pandemi döneminde ekmek yada yardım kuyruklarına mahkum eden bu düzen değişmeli!

#geçinemiyoruz
#asgariücret"
YüZDEYüZHABER,@haber_yuzdeyuz,,,,Erdoğan'dan Asgari Ücret Açıklaması! https://haberyuzdeyuz.com/politika/erdogandan-asgari-ucret-aciklamasi-h30530.html… @haber_yuzdeyuz aracılığıyla #asgariuecret
AnaHaber. com,@AnaHabercom,,,,"Cumhurbaşkanı #Erdoğan'dan asgari ücret açıklaması Cumhurbaşkanı Recep Tayyip #Erdoğan asgari ücrete ilişkin soruyu (gönlünüzden geçen rakam nedir): #Belli bir yere gelsin ondan sonra ceva...  https://is.gd/I7FFJX
#CumhurbaşkanıErdoğan #RecepTayyipErdoğan"
ümit önal,@81Security,,,,Asgari ücret en az 3100 lira olmalı  @msptemsilcilik @herkesicinCHP @ChpSisliilceBsk @sislibelediyesi
Kartal Gözü,@kartallgozu,,,2,"Sağdan soldan topladıkları faturalarla vergi kaçırmaya çalışıyorlar, müşavirler yok diyor. Odanın belirlediği asgari ücret tarifesinde ücret talep ediyorsun o fiyatın altına inmek için her türlü yüzsüzlüğü yapıyorlar, yok diyorsun ortalığı karıştırıyorlar."
Kamudanajans,@habervebilgicin,,,,Cumhurbaşkanı Erdoğan’dan asgari ücret açıklaması
ganisaylık,@gani3447,,,,Sahi Diyanet Asgari ücret için bi fikri yokmu?
T u r g u T,@NaysiAlay,,,,"DİSK adını değiştirdi. ÖGSRE hayırlı olsun.

Almanya'daki asgari ücret 9.680 TL 
Biz de, uğruna mücadele edilen rakam 3.800 TL

(ÖlümüGösteripSıtmayaRazıEdenler)

https://sozcu.com.tr/2020/ekonomi/disk-asgari-ucret-insan-onuruna-yarasir-bir-duzeye-yukseltilmeli-6179835/… #gazetesozcu @gazetesozcu aracılığıyla"
HÕĘLĮN,@tamuyolcusu,,,,Asgari ücret
Serkan Sinan,@SerkanSinan11,,,,Asgari ücret önerisinde bulunan #Tüik tüm kademelerde çalışanlarına belirlediği önerdiği ücreti ödesin.müdürden en alttaki personele kadar 2390 TL ile çalıştırsın
Yavuz ama %1 mutlu,@SalimSalca,1,,,Cem Fransa'da gününü gün ediyor ben asgarî ücret ile çalışıyorum cem beni görmez üj bej ateşleyemez ama ben sana yüzde yüz enflasyon da devletin kasasına giren milyarlarca liranın ne kadar önemli olduğunu anlamaya çalıştım idrak edemiyorsan np
AJANSKAMU,@Ajanskamu,,,,Cumhurbaşkanı Erdoğan'dan asgari ücret açıklaması
Marchell,@yuksekmuyendiz,,,,Daha asgari ücrete zam gelmedi ancak asgari ücrete zam söylentisi üzerine her şeye zam geldi. Asgari ücret 100.000 lira olsun aferin.
Merve Akman,@merveakman26,,,2,"Asgari ücret tartışmaları gündemde. Tüm ülke açıklanacak tutarı merak ediyor. Bu kadar önemli bir konuda Eskişehir’deki siyasetçilerden herhangi bir açıklama, öneri yok. Pandemi yorgunluğu sanırım. Tek yapılan tweet atmak, halkı dinlemek unutuldu."
Ayhan Kale,@arnavut_ayhan,,,1,"Asgari ücret belirleme komisyonunda görevli olanların maaşları 2700 TL'ye sabitlensin!
#asgariücret"
Bilal ÖZDEMİR,@ozdmrbll,1,,,"asgari ücret 5000TL olsun, bunu herkes yürekten istiyor ve destekliyorum fakat asgari ücretin işveren tarafını da düşünmemiz gerekiyor. bu ücretin bir o kadarı da işveren maliyeti var. işveren tarafında yükün hafifletilmesi gerekli.
şuanki asgari ücretle geçinmek mümkün değil!!!"
tayfun görgün,@tayfungrgn,,,4,"ASGARİ ÜCRET, 3800 NET
Sefalet ücreti değil, İnsan onuruna yaraşır asgari ücret..."
